TERMINO,DEFINICION,REFERENCIA,ARTICULO
Área de influencia,"Área en la cual se manifiestan de manera objetiva y en lo posible cuantificable, los impactos ambientales significativos ocasionados por la ejecución de un proyecto, obra o actividad, sobre los medios abiótico, biótico y socioeconómico, en cada uno de los componentes de dichos medios. Debido a que las áreas de los impactos pueden variar dependiendo del componente que se analice, el área de influencia podrá corresponder a varios polígonos distintos que se entrecrucen entre sí",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Área de influencia del proyecto,Municipio o conjunto de municipios en los cuales la empresa propietaria de una planta de generación eléctrica ha adquirido predios para el proyecto.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Área forestal protectora,"Se entiende por área forestal protectora la zona que debe ser conservada permanentemente con bosques naturales o artificiales, para proteger estos mismos recursos u otros naturales renovables. En el área forestal protectora debe prevalecer el efecto protector y solo se permitirá la obtención de frutos secundarios del bosque",Decreto 2811 de 1974,ARTICULO 204
Área fuente,"Es una determinada zona o región, urbana suburbana o rural, que por albergar múltiples fuentes fijas de emisión, es considerada como un área especialmente generadora de sustancias contaminantes del aire.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Área protegida,"Área definida geográficamente que haya sido designada, regulada y administrada a fin de alcanzar objetivos específicos de conservación;",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Atmósfera,Capa gaseosa que rodea la Tierra.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Autoridad Ambiental,"Son las Corporaciones Autónomas Regionales, las autoridades ambientales a que se refiere el artículo 13 de la Ley 768 de 2002, la autoridad ambiental de Buenaventura de que trata el artículo 124 de la Ley 1617 de 2013, Parques Nacionales Naturales de Colombia y el Ministerio de Ambiente y Desarrollo Sostenible.",Decreto 1076 de 2015,ARTÍCULO 2.2.4.1.1.2.
Banco de hábitat,"Corresponde a un área en la que se podrán realizar actividades de preservación, restauración, rehabilitación, recuperación, y/o uso sostenible para la conservación de la biodiversidad",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Barrera rompevientos,"Consiste en una o más hileras de árboles y arbustos plantados, en dirección perpendicular al viento dominante y dispuesto de tal forma que lo obligue a elevarse sobre sus copas.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Biodiversidad,"Variabilidad de organismos vivos de cualquier fuente, incluidos, entre otras cosas, los ecosistemas terrestres y marinos y otros ecosistemas acuáticos y los complejos ecológicos de los que forman parte, comprende la diversidad dentro de cada especie, entre las especies y los ecosistemas.","Ley 165 de 1994 y CDB, 1992",NA
Bioensayo acuático,"Procedimiento por el cual las respuestas de organismos acuáticos se usan para detectar o medir la presencia o efectos de una o más sustancias, elementos, compuestos, desechos o factores ambientales solos o en combinación.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Bioma,Unidad ecológica de la biosfera que se diferencia según variables climáticas y geológicas que determinan el tipo de vegetación y fauna.,NA,NA
Bosque,"Tierra con una cubierta de copa (o su grado equivalente de espesura) de más del 10 por ciento del área y una superficie superior a 0,5 hectáreas (ha). Los árboles deberían poder alcanzar una altura mínima de 5 metros (m) a su madurez in situ. Puede consistir ya sea en formaciones forestales cerradas, donde árboles de diversos tamaños y sotobosque cubren gran parte del terreno; diversos tamaños y sotobosque cubren gran parte del terreno; o formaciones forestales abiertas, con una cubierta de vegetación continua donde la cubierta de copa sobrepasa el 10 por ciento.",FAO,NA
Bosque altoandino,"Es la franja de vegetación que va desde los 3.000 a 3.200 m. Se caracteriza por una vegetación compuesta especialmente por Weinmannia sp. (encenillo), Ilex sp., Hesperomeles sp. (mortiño), Miconia sp. (tuno), Brunnellia sp, Clusia sp. (cucharo), Befaria sp. (pegamosco) entre otras (Cuatrecasas 1989, Cleef et al.1983), con elementos arbóreos hasta de 25 m de altura. Presenta nubosidad y niebla con temperaturas promedio de 15 a 6o C, condiciones ambientales extremas: baja presión atmosférica, escasa densidad del aire, baja temperatura media.",NA,NA
Bosque seco tropical,"Es propio en tierras bajas y se caracteriza por presentar una fuerte estacionalidad de lluvias. En Colombia se encuentra en seis regiones: el Caribe, los valles interandinos de los ríos Cauca y Magdalena, la región NorAndina en Santander y Norte de Santander, el valle del Patía, Arauca y Vichada en los Llanos. Originalmente este ecosistema cubría más de 9 millones de hectáreas, de las cuales quedan en la actualidad apenas un 8%, por lo cual es uno de los ecosistemas más amenazados en el país. Esto se debe a que el bosque seco existe en zonas con suelos relativamente fértiles, que han sido altamente intervenidos para la producción agrícola y ganadera, la minería, el desarrollo urbano y el turismo. Esta transformación es nefasta para la biodiversidad asociada al bosque seco y los servicios que presta este bosque.",NA,NA
Capacidad de asimilación,"Capacidad de un cuerpo de agua para aceptar y degradar sustancias o formas de energía, a través de procesos físicos, químicos y biológicos.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Capacidad de Carga,"Es el número máximo de personas para el aprovechamiento turístico que una zona puede soportar, asegurando una máxima satisfacción a los visitantes y una mínima repercusión sobre los recursos naturales y culturales.",Ley 1558 de 2012,NA
Captación,Conjunto de estructuras necesarias para tomar el agua de una fuente de abastecimiento.,Resolución 330 de 2017,ARTICULO 256
Captura,"Entiéndase como la acción de apresar un espécimen silvestre de forma temporal o definitiva, ya sea directamente o por medio de trampas diseñadas para tal fin.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Caracol,"Molusco gasterópodo, invertebrado, no articulado, de cuerpo blando que carece de esqueleto interno y protegido por una concha calcárea",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Carga contaminante,Es el producto de la concentración másica de una sustancia por el caudal volumétrico del líquido que la contiene determinado en el mismo sitio. Se expresa en unidades de masa sobre tiempo.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Carga contaminante diaria,"Es el resultado de multiplicar el caudal promedio por la concentración de una sustancia, elemento o parámetro contaminante por el factor de conversión de unidades y por el tiempo diario de vertimiento del usuario, medido en horas por día",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Categoría de manejo,"Unidad de clasificación o denominación genérica que se asigna a las áreas protegidas teniendo en cuenta sus características específicas, con el fin de lograr objetivos específicos de conservación bajo unas mismas directrices de manejo, restricciones y usos permitidos",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Cauce natural,Faja de terreno que ocupan las aguas de una corriente al alcanzar sus niveles máximos por efecto de las crecientes ordinarias.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Cauce permanente,Corresponde a la faja de terreno que ocupan los niveles máximos ordinarios de un cuerpo de agua sin producir desbordamiento de sus márgenes naturales,Decreto 1076 de 2015,ARTÍCULO 2.2.3.2.3A.2.
Cauces artificiales,"Conductos descubiertos, construidos por el ser humano para diversos fines, en los cuales discurre agua de forma permanente o intermitente.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Caudal ambiental,"Volumen de agua por unidad de tiempo, en términos de régimen y calidad, requerido para mantener el funcionamiento y resiliencia de los ecosistemas acuáticos y su provisión de servicios ecosistémicos.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Caudal disponible de un acuífero,"Corresponden al caudal que se podría extraer continuamente de un acuífero, sin que se reduzcan sus reservas.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Caudal explotable de un acuífero,"Corresponden al caudal que se puede extraer de los recursos disponibles de un acuífero, sin alterar el régimen de explotación establecido por la autoridad ambiental competente",Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Caudal promedio,"Corresponde al volumen de vertimientos por unidad de tiempo durante el período de muestreo. Para los efectos del presente capítulo, el caudal promedio se expresará en litros por segundo (l/s).",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Cercas vivas,"Consiste en árboles o arbustos plantados ubicados en los linderos externos o internos de predios, como método de delimitación de los mismos.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Certificado de Incentivo Forestal de Conservación,"Es un reconocimiento por los costos directos e indirectos en que incurre un propietario por conservar en su predio ecosistemas naturales boscosos poco o nada intervenidos, cuyo valor se definirá con base en los costos directos e indirectos por la conservación y la disponibilidad de recursos totales para el incentivo.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.9.1.2.
Colección biológica,"Conjunto de especímenes de la diversidad biológica preservados bajo estándares de curaduría especializada para cada uno de los grupos depositados en ella, los cuales deben estar debidamente catalogados, mantenidos y organizados taxonómicamente, de conformidad con lo establecido en el protocolo de manejo respectivo, que constituyen patrimonio de la Nación y que se encuentran bajo la administración de una persona natural o jurídica, tales como herbarios, museos de historia natural, bancos de ger-moplasma, bancos de tejidos y ADN, genotecas y ceparios y las demás que el Ministerio de Ambiente y Desarrollo Sostenible así lo considere",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Comercialización,"Proceso general de promoción del producto, incluyendo la publicidad, relaciones públicas acerca del producto y servicios de información, así como la distribución, venta o donación en los mercados nacionales e internacionales.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Composición,Atributo de la biodiversidad que hace referencia a los componentes físicos y bióticos de los sistemas biológicos en sus distintos niveles de organización,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Comunidad,"Nivel de la biodiversidad que hace referencia a un conjunto de diversas especies que habitan en una localidad particular, incluyendo sus complejas interacciones bióticas",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Comunidad biótica,"Conjunto de organismos vegetales y animales, que ocupan un área o lugar dado. Dentro de ella usualmente cumplen su ciclo biológico al menos alguna o algunas de sus especies y configuran una unidad organizada.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Concentración,"Es la masa de una sustancia, elemento o parámetro contaminante, por unidad de volumen del líquido que lo contiene. Para los efectos del presente capítulo, la concentración se expresará en miligramos por litro (mg/l).",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Concentración de una sustancia en el aire,Es la relación que existe entre el peso o el volumen de una sustancia y la unidad de volumen del aire en la cual está contenida.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
"Concentración de una sustancia, elemento o compuesto en un líquido",La relación existente entre su masa y el volumen del líquido que lo contiene.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Concesión de aguas,"Es el modo de adquirir el derecho a usar o aprovechar las aguas de uso público para los siguientes fines: a) Abastecimiento doméstico en los casos que requiera derivación; b) Riego y silvicultura; c) Abastecimiento de abrevaderos cuando se requiera derivación; d) Uso industrial; e) Generación térmica o nuclear de electricidad; f) Explotación minera y tratamiento de minerales; g) Explotación petrolera; h) Inyección para generación geotérmica; i) Generación hidroeléctrica; j) Generación cinética directa; k) Flotación de maderas; l) Transporte de minerales y sustancias tóxicas; m) Acuicultura y pesca; n) Recreación y deportes; o) Usos medicinales, y p) Otros usos minerales.",Decreto 1541 de 1978,ARTICULO 36
Condiciones de referencia,"Son los valores de temperatura y presión con base en los cuales se fijan las normas de calidad del aire y de las emisiones, que respectivamente equivalen a 25 C y 760 mm de mercurio.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Conocimiento,"Son los saberes, innovaciones y prácticas científicas, técnicas, tradicionales o cualquier otra de sus formas, relacionados con la conservación de la biodiversidad",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Consecuencia nociva,"Es el resultado de incorporar al recurso hídrico uno o varios elementos, sustancias o parámetros contaminantes, cuya concentración y caudal sean potencialmente capaces de degradar el recurso o que alteren las condiciones de calidad del mismo.",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Consejo Ambiental Regional,Instancia de coordinación interinstitucional e intersectorial de los actores presentes en el área hidrográfica o macrocuenca.,Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Conservación,"Es la conservación in situ de los ecosistemas y los hábitats naturales y el mantenimiento y recuperación de poblaciones viables de especies en su entorno natural y, en el caso de las especies domesticadas y cultivadas, en los entornos en que hayan desarrollado sus propiedades específicas. La conservación in situ hace referencia a la preservación, restauración, uso sostenible y conocimiento de la biodiversidad",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Contaminación atmosférica,Es el fenómeno de acumulación o de concentración de contaminantes en el aire.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Contaminantes,"Son fenómenos físicos, o sustancias, o elementos en estado sólido, líquido o gaseoso, causantes de efectos adversos en el medio ambiente, los recursos naturales renovables y la salud humana que solos, o en combinación, o como productos de reacción, se emiten al aire como resultado de actividades humanas, de causas naturales, o de una combinación de éstas.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Controles al final del proceso,"Son las tecnologías, métodos o técnicas que se emplean para tratar, antes de ser transmitidas al aire, las emisiones o descargas contaminantes generadas por un proceso de producción, combustión o extracción, por cualquier otra actividad capaz de emitir contaminantes al aire, con el fin de mitigar, contrarrestar o anular sus efectos sobre el medio ambiente, los recursos naturales renovables y la salud humana.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Corporaciones Autónomas Regionales,"son entes corporativos de carácter público, creados por la ley, integrados por las entidades territoriales que por sus características constituyen geográficamente un mismo ecosistema o conforman una unidad geopolítica, biogeográfica o hidrogeográfica, dotados de autonomía administrativa y financiera, patrimonio propio y personería jurídica, encargados por la ley de administrar, dentro del área de su jurisdicción, el medio ambiente y los recursos naturales renovables y propender por su desarrollo sostenible, de conformidad con las disposiciones legales y las políticas del Ministerio del Medio Ambiente.",Ley 99 de 1993,ARTICULO 23
Corporaciones no aportantes al Fondo de Compensación Ambiental,Las Corporaciones de Desarrollo Sostenible no serán aportantes al Fondo de Compensación Ambiental.,Decreto 1076 de 2015,
Cuenca,"Es el área de aguas superficiales o subterráneas que vierten a una red hidrográfica natural con uno o varios cauces naturales, de caudal continuo o intermitente, que confluyen en un curso mayor que a su vez, pueda desembocar en un río principal, en un depósito natural de aguas, en un pantano o directamente en el mar",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Cuenca hidrográfica,"Entiéndase por cuenca u hoya hidrográfica el área de aguas superficiales o subterráneas que vierten a una red hidrográfica natural con uno o varios cauces naturales, de caudal continuo o intermitente, que confluyen en un curso mayor que, a su vez, puede desembocar en un río principal, en un depósito natural de aguas, en un pantano o directamente en el mar.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Cuerpo de Agua.,"Sistema de origen natural o artificial, localizado sobre la superficie terrestre, conformado por elementos físicos-bióticos y masas o volúmenes de agua, contenidas o en movimiento",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Cultura de la no basura,"Es el conjunto de costumbres y valores de una comunidad que tienden a la reducción de las cantidades de residuos generados por cada uno de sus habitantes, por la comunidad en general o por los diferentes sectores productivos, así como el aprovechamiento de los residuos potencialmente reutilizables.",Decreto 1076 de 2015,
Datos Abiertos,"Son datos que pueden ser utilizados, reutilizados y redistribuidos libremente por cualquier persona, y que se encuentran sujetos, cuando más, al requerimiento de atribución y de compartirse de la misma manera en que aparecen",NA,NA
Defensa de la cuenca hidrográfica,Conjunto de actividades encaminadas al mantenimiento y recuperación del estado ambiental de una cuenca.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Defensa del área de influencia del proyecto,"Conjunto de actividades necesarias para el cumplimiento del ""Plan de Ordenación y Manejo Ambiental de la Cuenca Hidrográfica y del Área de Influencia del Proyecto.""",Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Desarrollo Sostenible,"Se entiende por desarrollo sostenible el que conduzca al crecimiento económico, a la elevación de la calidad de la vida y al bienestar social, sin agotar la base de recursos naturales renovables en que se sustenta, ni deteriorar el medio ambiente o el derecho de las generaciones futuras a utilizarlo para la satisfacción de sus propias necesidades",Ley 99 de 1993,ARTICULO 3
Desastre,"Es el resultado que se desencadena de la manifestación de uno o varios eventos naturales o antropogénicos no intencionales que al encontrar condiciones propicias de vulnerabilidad en las personas, los bienes, la infraestructura, los medios de subsistencia, la prestación de servicios o los recursos ambientales, causa daños o pérdidas humanas, materiales, económicas o ambientales, generando una alteración intensa, grave y extendida en las condiciones normales de funcionamiento de la sociedad, que exige del Estado y del sistema nacional ejecutar acciones de respuesta a la emergencia, rehabilitación y reconstrucción.",Ley 1523 de 2012,ARTICULO 4
Especies endémicas,son especies o subespecies de fauna y de flora o sus poblaciones cuya distribución se limita a un área geográfica particular,Ley 356 DE 1997,ARTICULO 1
Desechos o residuos peligrosos de plaguicidas,"Comprende los plaguicidas en desuso, es decir, los que se encuentran vencidos o fuera de especificaciones técnicas, envases o empaques que hayan contenido plaguicidas, remanentes, sobrantes, subproductos de estos plaguicidas; el producto de lavado o limpieza de objetos o elementos que hayan estado en contacto con los plaguicidas tales como: Ropa de trabajo, equipos de aplicación, equipos de proceso u otros.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Detergente,"Toda sustancia o preparado que contenga jabón u otros tensoactivos y que se utilicen en procesos de lavado con agua. Los detergentes podrán adoptar cualquier forma (líquido, polvos, pasta, barra, pastilla, formas moldeadas, entre otros) y estar destinados a su uso doméstico e institucional o industrial.",NA,NA
Diámetro a la altura del pecho (DAP).,Es el diámetro del fuste o tronco de un árbol medido a una altura de un metro con treinta centímetros a partir del suelo.,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Disposición final,"Es el proceso de aislar y confinar los residuos o desechos peligrosos, en especial los no aprovechables, en lugares especialmente seleccionados, diseñados y debidamente autorizados, para evitar la contaminación y los daños o riesgos a la salud humana y al ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Distribuidor,"Persona natural o jurídica, pública o privada, que suministra los plaguicidas a través de canales comerciales en los mercados nacionales o internacionales.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Diversidad biológica,"Es la variabilidad de organismos vivos de cualquier fuente, incluidos, entre otras cosas, los ecosistemas terrestres y marinos y otros ecosistemas acuáticos y los complejos ecológicos de los que forman parte; comprende la diversidad dentro de cada especie, entre las especies y de los ecosistemas",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Dosis de inmisión,"Es el valor total (la integral) del flujo de inmisión es un receptor, durante un período determinado de exposición.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Ecosistema,"Nivel de la biodiversidad que hace referencia a un complejo dinámico de comunidades vegetales, animales y de microorganismos y su medio no viviente que interactúan como una unidad funcional",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Ecosistema de importancia estratégica para la conservación de recursos hídricos,"Aquellos que garantizan la oferta de servicios ecosistémicos relacionados con el ciclo hidrológico, y en general con los procesos de regulación y disponibilidad del recurso hídrico en un área determinada.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Ecosistema natural boscoso,"Concepto que comprende un sistema ecológico poco o nada afectado por el hombre, compuesto predominantemente por vegetación arbórea y elementos bióticos y abióticos del medio ambiente que se influencian mutuamente.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.9.1.2.
Educación Ambiental,"Es un proceso dinámico y participativo, orientado a la formación de personas críticas y reflexivas, con capacidades para comprender las problemáticas ambientales de sus contextos (locales, regionales y nacionales). Al igual que para participar activamente en la construcción de apuestas integrales (técnicas, políticas, pedagógicas y otras), que apunten a la transformación de su realidad, en función del propósito de construcción de sociedades ambientalmente sustentables y socialmente justas.",Ley 1549 de 2012,ARTICULO 1
Eliminación,"Este término comprende las operaciones que pueden conducir a la recuperación, reciclaje, regeneración, reutilización, tratamiento, incluido el almacenamiento, así como la disposición final.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Embalse,"Área de inundación medida a la cota de rebose del vertedero de una presa tanto de regulación como de derivación. Para el caso de vertederos con compuertas, la cota de rebose será el ""nivel máximo normal de operación"", entendido éste como la cota a partir de la cual se inicia la apertura de compuertas para evacuar excedentes de agua.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.2.1.2.
Emergencia,"Situación caracterizada por la alteración o interrupción intensa y grave de las condiciones normales de funcionamiento u operación de una comunidad, causada por un evento adverso o por la inminencia del mismo, que obliga a una reacción inmediata y que requiere la respuesta de las instituciones del Estado, los medios de comunicación y de la comunidad en general.",Ley 1523 de 2012,ARTICULO 4
Emisión,"Es la descarga de una sustancia o elemento al aire, en estado sólido líquido o gaseoso, o en alguna combinación de éstos, proveniente de una fuente fija o móvil.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Emisión de ruido,"Es la presión sonora que generada en cualesquiera condiciones, trasciende al medio ambiente o al espacio público.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Emisión fugitiva,Es la emisión ocasional de material contaminante.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Envasador,"Persona natural o jurídica, pública o privada, autorizada, cuya actividad consiste en trasladar un plaguicida de cualquier recipiente a un envase comercial para la venta subsiguiente, sin alterar sus características.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Envase,"Recipiente que contiene el producto para protegerlo o conservarlo y que facilita su manipulación, almacenamiento, distribución, y presenta la etiqueta.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Episodio o evento,"Es la ocurrencia o acaecimiento de un estado tal de concentración de contaminantes en el aire que dados sus valores y tiempo de duración o exposición, impone la declaratoria por la autoridad ambiental competente, de alguno de los niveles de contaminación, distinto del normal.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
